targetId,strataId,cohortId,cohortType,name
101,1,101000011,TwS,[PIONEER 2.0] Target Cohort 1.0_ mHSPC FINAL with Age < 60
102,1,102000011,TwS,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous) FINAL with Age < 60
103,1,103000011,TwS,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC FINAL with Age < 60
104,1,104000011,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC treated FINAL with Age < 60
105,1,105000011,TwS,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) FINAL with Age < 60
106,1,106000011,TwS,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated FINAL with Age < 60
107,1,107000011,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT only treated FINAL with Age < 60
108,1,108000011,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA treated FINAL with Age < 60
109,1,109000011,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+Chemo treated FINAL with Age < 60
110,1,110000011,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA+Chemo treated FINAL with Age < 60
111,1,111000011,TwS,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT only treated (synchronous) FINAL with Age < 60
112,1,112000011,TwS,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA treated (synchronous) FINAL with Age < 60
113,1,113000011,TwS,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+Chemo treated (synchronous) FINAL with Age < 60
114,1,114000011,TwS,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA+Chemo treated (synchronous) FINAL with Age < 60
115,1,115000011,TwS,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT only treated FINAL with Age < 60
116,1,116000011,TwS,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+Chemo treated FINAL with Age < 60
117,1,117000011,TwS,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA treated FINAL with Age < 60
118,1,118000011,TwS,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA+Chemo treated FINAL with Age < 60
101,2,101000021,TwS,[PIONEER 2.0] Target Cohort 1.0_ mHSPC FINAL with Age 60 - 69
102,2,102000021,TwS,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous) FINAL with Age 60 - 69
103,2,103000021,TwS,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC FINAL with Age 60 - 69
104,2,104000021,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC treated FINAL with Age 60 - 69
105,2,105000021,TwS,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) FINAL with Age 60 - 69
106,2,106000021,TwS,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated FINAL with Age 60 - 69
107,2,107000021,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT only treated FINAL with Age 60 - 69
108,2,108000021,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA treated FINAL with Age 60 - 69
109,2,109000021,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+Chemo treated FINAL with Age 60 - 69
110,2,110000021,TwS,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA+Chemo treated FINAL with Age 60 - 69
111,2,111000021,TwS,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT only treated (synchronous) FINAL with Age 60 - 69
112,2,112000021,TwS,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA treated (synchronous) FINAL with Age 60 - 69
