cohortId,targetId,targetName,strataId,strataName,cohortType
101,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC FINAL,0,All,Target
102,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous) FINAL,0,All,Target
103,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC FINAL,0,All,Target
104,104,[PIONEER 2.0] Target Cohort 2.0_mHSPC treated FINAL,0,All,Target
105,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) FINAL,0,All,Target
106,106,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated FINAL,0,All,Target
107,107,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT only treated FINAL,0,All,Target
108,108,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA treated FINAL,0,All,Target
109,109,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+Chemo treated FINAL,0,All,Target
110,110,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA+Chemo treated FINAL,0,All,Target
111,111,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT only treated (synchronous) FINAL,0,All,Target
112,112,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA treated (synchronous) FINAL,0,All,Target
113,113,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+Chemo treated (synchronous) FINAL,0,All,Target
114,114,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA+Chemo treated (synchronous) FINAL,0,All,Target
115,115,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT only treated FINAL,0,All,Target
116,116,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+Chemo treated FINAL,0,All,Target
117,117,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA treated FINAL,0,All,Target
118,118,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA+Chemo treated FINAL,0,All,Target
101002832,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC FINAL,283,without Performance Status ECOG=0,TwoS
102002832,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous) FINAL,283,without Performance Status ECOG=0,TwoS
103002832,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC FINAL,283,without Performance Status ECOG=0,TwoS
104002832,104,[PIONEER 2.0] Target Cohort 2.0_mHSPC treated FINAL,283,without Performance Status ECOG=0,TwoS
105002832,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) FINAL,283,without Performance Status ECOG=0,TwoS
106002832,106,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated FINAL,283,without Performance Status ECOG=0,TwoS
107002832,107,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT only treated FINAL,283,without Performance Status ECOG=0,TwoS
108002832,108,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA treated FINAL,283,without Performance Status ECOG=0,TwoS
109002832,109,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+Chemo treated FINAL,283,without Performance Status ECOG=0,TwoS
110002832,110,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA+Chemo treated FINAL,283,without Performance Status ECOG=0,TwoS
111002832,111,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT only treated (synchronous) FINAL,283,without Performance Status ECOG=0,TwoS
112002832,112,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA treated (synchronous) FINAL,283,without Performance Status ECOG=0,TwoS
113002832,113,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+Chemo treated (synchronous) FINAL,283,without Performance Status ECOG=0,TwoS
114002832,114,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA+Chemo treated (synchronous) FINAL,283,without Performance Status ECOG=0,TwoS
115002832,115,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT only treated FINAL,283,without Performance Status ECOG=0,TwoS
116002832,116,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+Chemo treated FINAL,283,without Performance Status ECOG=0,TwoS
117002832,117,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA treated FINAL,283,without Performance Status ECOG=0,TwoS
118002832,118,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA+Chemo treated FINAL,283,without Performance Status ECOG=0,TwoS
101002842,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC FINAL,284,without Hypertension,TwoS
102002842,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous) FINAL,284,without Hypertension,TwoS
103002842,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC FINAL,284,without Hypertension,TwoS
104002842,104,[PIONEER 2.0] Target Cohort 2.0_mHSPC treated FINAL,284,without Hypertension,TwoS
105002842,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) FINAL,284,without Hypertension,TwoS
106002842,106,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated FINAL,284,without Hypertension,TwoS
107002842,107,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT only treated FINAL,284,without Hypertension,TwoS
108002842,108,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA treated FINAL,284,without Hypertension,TwoS
109002842,109,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+Chemo treated FINAL,284,without Hypertension,TwoS
110002842,110,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA+Chemo treated FINAL,284,without Hypertension,TwoS
111002842,111,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT only treated (synchronous) FINAL,284,without Hypertension,TwoS
112002842,112,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA treated (synchronous) FINAL,284,without Hypertension,TwoS
113002842,113,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+Chemo treated (synchronous) FINAL,284,without Hypertension,TwoS
114002842,114,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA+Chemo treated (synchronous) FINAL,284,without Hypertension,TwoS
115002842,115,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT only treated FINAL,284,without Hypertension,TwoS
116002842,116,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+Chemo treated FINAL,284,without Hypertension,TwoS
117002842,117,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA treated FINAL,284,without Hypertension,TwoS
118002842,118,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA+Chemo treated FINAL,284,without Hypertension,TwoS
101002862,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC FINAL,286,without Cardiovascular Disease Event,TwoS
102002862,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous) FINAL,286,without Cardiovascular Disease Event,TwoS
103002862,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC FINAL,286,without Cardiovascular Disease Event,TwoS
104002862,104,[PIONEER 2.0] Target Cohort 2.0_mHSPC treated FINAL,286,without Cardiovascular Disease Event,TwoS
105002862,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) FINAL,286,without Cardiovascular Disease Event,TwoS
106002862,106,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated FINAL,286,without Cardiovascular Disease Event,TwoS
107002862,107,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT only treated FINAL,286,without Cardiovascular Disease Event,TwoS
108002862,108,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA treated FINAL,286,without Cardiovascular Disease Event,TwoS
109002862,109,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+Chemo treated FINAL,286,without Cardiovascular Disease Event,TwoS
110002862,110,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA+Chemo treated FINAL,286,without Cardiovascular Disease Event,TwoS
111002862,111,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT only treated (synchronous) FINAL,286,without Cardiovascular Disease Event,TwoS
112002862,112,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA treated (synchronous) FINAL,286,without Cardiovascular Disease Event,TwoS
113002862,113,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+Chemo treated (synchronous) FINAL,286,without Cardiovascular Disease Event,TwoS
114002862,114,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA+Chemo treated (synchronous) FINAL,286,without Cardiovascular Disease Event,TwoS
115002862,115,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT only treated FINAL,286,without Cardiovascular Disease Event,TwoS
116002862,116,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+Chemo treated FINAL,286,without Cardiovascular Disease Event,TwoS
117002862,117,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA treated FINAL,286,without Cardiovascular Disease Event,TwoS
118002862,118,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA+Chemo treated FINAL,286,without Cardiovascular Disease Event,TwoS
101002872,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC FINAL,287,without Diabetes 2,TwoS
102002872,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous) FINAL,287,without Diabetes 2,TwoS
103002872,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC FINAL,287,without Diabetes 2,TwoS
104002872,104,[PIONEER 2.0] Target Cohort 2.0_mHSPC treated FINAL,287,without Diabetes 2,TwoS
105002872,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) FINAL,287,without Diabetes 2,TwoS
106002872,106,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC treated FINAL,287,without Diabetes 2,TwoS
107002872,107,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT only treated FINAL,287,without Diabetes 2,TwoS
108002872,108,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA treated FINAL,287,without Diabetes 2,TwoS
109002872,109,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+Chemo treated FINAL,287,without Diabetes 2,TwoS
110002872,110,[PIONEER 2.0] Target Cohort 2.0_mHSPC ADT+ARTA+Chemo treated FINAL,287,without Diabetes 2,TwoS
111002872,111,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT only treated (synchronous) FINAL,287,without Diabetes 2,TwoS
112002872,112,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA treated (synchronous) FINAL,287,without Diabetes 2,TwoS
113002872,113,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+Chemo treated (synchronous) FINAL,287,without Diabetes 2,TwoS
114002872,114,[PIONEER 2.0] Target Cohort 2.1_mHSPC ADT+ARTA+Chemo treated (synchronous) FINAL,287,without Diabetes 2,TwoS
115002872,115,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT only treated FINAL,287,without Diabetes 2,TwoS
116002872,116,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+Chemo treated FINAL,287,without Diabetes 2,TwoS
117002872,117,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA treated FINAL,287,without Diabetes 2,TwoS
118002872,118,[PIONEER 2.0] Target Cohort 2.2_metachronous mHSPC ADT+ARTA+Chemo treated FINAL,287,without Diabetes 2,TwoS
101002882,101,[PIONEER 2.0] Target Cohort 1.0_ mHSPC FINAL,288,without Venous thromboembolic (pulmonary embolism and deep vein thrombosis),TwoS
102002882,102,[PIONEER 2.0] Target Cohort 1.1_mHSPC (synchronous) FINAL,288,without Venous thromboembolic (pulmonary embolism and deep vein thrombosis),TwoS
103002882,103,[PIONEER 2.0] Target Cohort 1.2_metachronous mHSPC FINAL,288,without Venous thromboembolic (pulmonary embolism and deep vein thrombosis),TwoS
104002882,104,[PIONEER 2.0] Target Cohort 2.0_mHSPC treated FINAL,288,without Venous thromboembolic (pulmonary embolism and deep vein thrombosis),TwoS
105002882,105,[PIONEER 2.0] Target Cohort 2.1_mHSPC treated (synchronous) FINAL,288,without Venous thromboembolic (pulmonary embolism and deep vein thrombosis),TwoS
